Cement,CeramicWastePowder,FineAggregate,CoarseAggregate,Water,CompressiveStrength
528.03,0.0,497.17,1302.63,200.64,33.67
665.95,0.0,250.19,1274.08,253.08,34.35
464.68,0.0,531.29,1151.07,271.22,26.77
572.54,0.0,588.52,1071.99,228.61,30.7
512.83,0.0,538.46,1123.09,225.17,26.23
579.32,0.0,550.36,973.26,274.03,27.37
499.92,0.0,569.9,1174.81,219.86,27.78
562.88,0.0,596.64,1035.73,247.6,36.47
480.45,0.0,590.95,1205.96,221.0,34.87
579.76,0.0,678.29,997.14,222.45,32.6
541.48,0.0,682.25,990.92,228.2,34.13
449.15,0.0,543.46,1311.5,178.27,28.03
433.85,0.0,620.42,1223.5,191.4,26.8
482.04,0.0,636.27,1137.59,198.24,33.2
423.45,0.0,571.66,1350.8,186.32,34.87
501.72,0.0,717.43,1013.44,196.79,37.87
481.51,0.0,693.36,1136.37,185.24,36.0
389.09,0.0,579.74,1330.67,188.51,41.03
413.98,0.0,637.55,1237.83,174.54,34.77
476.71,0.0,700.77,1148.9,172.92,32.27
465.11,51.67,486.58,1274.9,196.37,32.53
598.29,66.51,249.76,1271.88,252.64,28.0
403.15,44.78,512.13,1109.57,261.45,19.07
507.42,56.37,579.52,1055.6,225.11,24.27
479.21,53.26,559.08,1166.08,233.79,30.47
538.41,59.82,568.32,1005.03,282.97,29.47
448.2,49.8,567.72,1170.31,219.02,28.07
501.79,55.74,590.97,1025.87,245.25,30.0
439.91,48.89,601.19,1226.84,224.83,23.93
514.63,57.18,669.03,983.53,219.41,36.23
482.85,53.63,675.96,981.79,226.1,22.23
410.09,45.57,551.33,1330.51,180.85,21.27
393.22,43.68,624.78,1232.1,192.74,25.97
441.65,49.06,647.76,1158.13,201.82,26.17
383.85,42.66,575.79,1360.56,187.67,29.33
456.18,50.69,724.79,1023.82,198.8,31.4
439.97,48.89,703.94,1153.71,188.07,30.7
359.86,39.97,595.74,1367.41,193.72,30.8
380.86,42.32,651.69,1265.28,178.41,36.5
425.23,47.26,694.51,1138.63,171.37,35.87
405.11,101.27,476.82,1249.32,192.43,24.83
521.69,130.41,244.99,1247.59,247.82,27.55
370.44,92.63,529.45,1147.09,270.28,16.2
451.01,112.77,579.51,1055.6,225.11,24.97
416.23,104.04,546.28,1139.39,228.44,21.8
452.26,113.07,537.06,949.75,267.41,16.87
390.47,97.62,556.41,1147.0,214.66,17.6
429.05,107.27,568.5,986.86,235.92,18.93
372.36,93.08,572.48,1168.26,214.09,19.43
455.34,113.83,665.94,978.98,218.4,24.83
426.03,106.52,671.01,974.59,224.44,22.5
346.05,86.51,523.4,1263.1,171.69,21.37
329.68,82.43,589.32,1162.18,181.81,18.1
388.33,97.09,640.73,1145.58,199.63,23.27
331.04,82.78,558.65,1320.06,182.08,21.2
408.27,102.07,729.75,1030.83,200.17,25.5
378.78,94.69,681.8,1117.43,182.15,22.27
309.47,77.38,576.4,1323.02,187.43,18.97
331.27,82.8,637.7,1238.12,174.58,18.7
372.28,93.06,684.06,1121.49,168.79,27.9
